question_cleaned,department_target,message_uid,question_original,department_original,is_short_question
трябва ли акт за раждане за откриване на сметка тийн,Пазар Ежедневно банкиране,0f5d8b86-846e-4fea-971e-47ab2a802e90,трябва ли акт за раждане за откриване на сметка тийн ,Пазар Ежедневно банкиране,False
"при първото онлайн плащане след това системата ми поиска pin код, но при следващите ми покупки онлайн не получавам изискване за подобна оторизация, а сумата се плаща вендага, след което получавам единствено известие за извършена транзакция. защо? как отново мога да използвам тази опция за сигурност при плащане?",Пазар Ежедневно банкиране,775c1776-6f74-4d57-9443-a14b7e90f511,"При първото онлайн плащане след това системата ми поиска PIN код, но при следващите ми покупки онлайн не получавам изискване за подобна оторизация, а сумата се плаща вендага, след което получавам единствено известие за извършена транзакция. Защо? Как отново мога да използвам тази опция за сигурност при плащане?",Пазар Ежедневно банкиране,False
какъв е срока за свързване с клиента,Други,7898fdf0-1b9b-4887-8671-7bcca4fbf73d,какъв е срока за свързване с клиента ,Други,False
какъв е срока за експресна фирмена карта?,Пазар Малък бизнес,d801f88d-a825-4832-b1d6-25b3ec7c2049,Какъв е срока за експресна фирмена карта?,Пазар Малък бизнес,False
"ако един клиент има dsk mobile, но няма дск директ и му издадем, то с каква парола и потребителско има трябва да се логва в дск директ",Пазар Ежедневно банкиране,5ab75e9a-21a9-445b-8176-6141a96076f6,"ако един клиент има dsk mobile, но няма дск директ и му издадем, то с каква парола и потребителско има трябва да се логва в дск директ",Пазар Ежедневно банкиране,False
преференция от работоздател state,Други,270c0815-e794-48fe-8700-b6c4071f92c6,преференция от работоздател state,Други,False
параметри на кк galacsi,Пазар Разсрочени плащания,45b0f689-67cd-4861-ac4e-21790549d174,ПАРАМЕТРИ НА КК GALACSI,Пазар Разсрочени плащания,False
как да изтегля от сметка със запор,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,63dd6cb2-63cb-43cd-824d-7014454cffdb,как да изтегля от сметка със запор,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
"здравей, при включен план за заплата, а клиентът има издадени две карти към сметката, коя карта включваме в плана или и двете карти могат да се включат?",Пазар Ежедневно банкиране,f5a70999-b6f1-4901-98c4-7a4530dfcac1,"Здравей, при включен план за Заплата, а клиентът има издадени две карти към сметката, коя карта включваме в плана или и двете карти могат да се включат?",Пазар Ежедневно банкиране,False
мога ли да променям падежната дата,Няколко пазара,2aa40584-dd6d-4c68-a8d7-f0dd04dff721,мога ли да променям падежната дата,Няколко пазара,False
имам предвид при предоставен сертификат каква е отстъпката ?,Пазар Жилищни и ипотечни кредити,348260a9-f59f-4d35-b1d8-7b62170e909f,Имам предвид при предоставен сертификат каква е отстъпката ? ,Пазар Жилищни и ипотечни кредити,False
може ли да се открива рс в евро онбординг?,Пазар Ежедневно банкиране,cca6ae27-d23d-4162-8449-903b29bf93a9,Може ли да се открива РС в евро онбординг?,Пазар Ежедневно банкиране,False
какво е кц,Други,f94b256a-f1e9-4f92-9141-1039cce77240,КАКВО Е КЦ,Други,False
какви възможности за финнсиране на има клиент при кандидастване при потребителски кредит с рефинасиране през dsk mobile,Пазар Ежедневно банкиране,7c3ed350-8648-45bd-94da-36a303550167,какви възможности за финнсиране на има клиент при кандидастване при потребителски кредит с рефинасиране през dsk mobile,Пазар Ежедневно банкиране,False
какъв е основният лимит по кредитна карта platinum по облекчената процедура с план премиум,Пазар Разсрочени плащания,f9106119-cff6-4104-881c-f9eba2d37ab0,Какъв е основният лимит по кредитна карта Platinum по облекчената процедура с план Премиум,Пазар Разсрочени плащания,False
има ли такса за откриване на сметка старт,Пазар Ежедневно банкиране,de6850ac-5d5e-4978-a227-62b232b8b873,има ли такса за откриване на сметка старт ,Пазар Ежедневно банкиране,False
каква е разликата между жилищен и ипотечен кредит,Пазар Жилищни и ипотечни кредити,d8668fdf-6d09-4276-8704-cab19631bd06,каква е разликата между жилищен и ипотечен кредит,Пазар Жилищни и ипотечни кредити,False
каква е лихвата за служители по жик,Пазар Жилищни и ипотечни кредити,dd697e35-4085-4984-84b6-5e9dfea685bb,КАКВА Е ЛИХВАТА ЗА СЛУЖИТЕЛИ ПО ЖИК ,Пазар Жилищни и ипотечни кредити,False
какво е изискването за дърг доход,Няколко пазара,af479250-c328-4fbd-8af1-e618107aee08,какво е изискването за дърг доход,Няколко пазара,False
"може ли да се тегли на каса от клиентска сметка дск тийн, ако титулярът е на 17 години?",Пазар Ежедневно банкиране,78d1d4fd-675d-4d2f-9c06-747076cdd761,"Може ли да се тегли на каса от клиентска сметка ДСК Тийн, ако титулярът е на 17 години?",Пазар Ежедневно банкиране,False
съгласие за обработка на личните данни в дск родина,Пазар Спестяване и инвестиции,19184bed-0cca-4f8b-9cd4-7d569726cb95,съгласие за обработка на личните данни в дск родина,Пазар Спестяване и инвестиции,False
а иматели информация за нещо свързано с банката,Други,73151fa9-05a3-4192-807f-375e1a5a4321,А ИМАТЕЛИ ИНФОРМАЦИЯ ЗА НЕЩО СВЪРЗАНО С БАНКАТА,Други,False
с удостоверение за доход до каква сума мога да пусна ктп,Пазар Потребителско кредитиране,8698a6ac-49eb-4887-a1c6-cead7016425d,с удостоверение за доход до каква сума мога да пусна ктп,Пазар Потребителско кредитиране,False
план за еврова сметка,Пазар Ежедневно банкиране,750c7667-496b-4663-887d-ba9d26f40bc6,план за еврова сметка,Пазар Ежедневно банкиране,False
а може ли по-голяма сума?,Други,bb5b041b-9955-42c4-b713-f87304c93925,а може ли по-голяма сума?,Други,False
дай ми линк калкулатор за достатъчносъ,Няколко пазара,fcecdb73-5876-4f98-986f-a568d2352417,дай ми линк калкулатор за достатъчносъ,Няколко пазара,False
сертификата в електронното банкиране има ли срок,Пазар Ежедневно банкиране,67ef62f4-8eb3-42ab-a866-83b113acb397,сертификата в електронното банкиране има ли срок,Пазар Ежедневно банкиране,False
декларация произход,Пазар Ежедневно банкиране,a6475cf8-e36e-4f3e-a80e-7dd93a273a1f,декларация произход,Пазар Ежедневно банкиране,False
как се променя грешен статичен пин създаден в дск директ ако клиента няма дебитна карта,Пазар Ежедневно банкиране,a4d4395e-47f2-4f2b-9819-3607daa7406a,как се променя грешен статичен пин създаден в ДСК Директ ако клиента няма дебитна карта,Пазар Ежедневно банкиране,False
правим ли преводи към беларус,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,2230af95-d789-4c58-a1c8-20379c6a42f5,Правим ли преводи към Беларус,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
каква е таксата за попълване на платежно нареждане,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,69d1420b-90bf-4e13-bb6d-9b05cbb96515,каква е таксата за попълване на платежно нареждане,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
намери ми списък външни посредници на банка дск,Пазар Жилищни и ипотечни кредити,21f7cd3a-ddc8-4312-958d-6166ee81d876,Намери ми списък външни посредници на Банка ДСК,Пазар Жилищни и ипотечни кредити,False
"колеги, моля за съдействие, за следния казус: мартин – дивидент 1319 лева – само той придобива имота – мах вноска 2638 лева ( за ½ и анализ на 30г.) валентина (майка 60г) – дивидент 1319+пенсия 579,21+заплата 1799,89 = 3698,10 лева :2 = 1849,05 ------------------------ общ доход 5017 лева ( 50% = 2508,50 -250 лева кк = 2258,50 вноска по кредит => кредит ? ) силвия ( сестра) – дивидент 1319 лева може ли да ползваме силвия, съдлъжник и дохода й, да ползваме възрастта на двама млади – 30г. и 50% от вноската да бъде до 2638 лева?",Пазар Жилищни и ипотечни кредити,9f3b06cc-51b2-4765-9685-14d056a89fb1,"Колеги, моля за съдействие, за следния казус:

                Мартин – дивидент 1319 лева – само той придобива  имота – мах вноска 2638 лева ( за ½ и анализ на 30г.)

                Валентина (майка 60г) – дивидент 1319+пенсия 579,21+заплата 1799,89 = 3698,10 лева :2 = 1849,05
               ------------------------
                               Общ доход 5017 лева  ( 50% = 2508,50 -250 лева КК = 2258,50 вноска по кредит => кредит ? )

       
                Силвия ( сестра) – дивидент 1319 лева


                Може ли да ползваме Силвия, съдлъжник  и дохода й,   да ползваме възрастта на двама млади – 30г. и 50% от вноската да бъде до 2638 лева? 
",Пазар Жилищни и ипотечни кредити,False
какво покрива застраховка по дебитна карта,Пазар Банково застраховане,261fed70-4c1c-497f-86f8-dcf883a42b13,какво покрива застраховка по дебитна карта,Пазар Банково застраховане,False
ако в los натиснем уведоми клиента при ново предложение какво се случва,Пазар Потребителско кредитиране,a44af046-b1fa-4b53-b9eb-8cf6dd01550c,Ако в LOS натиснем уведоми клиента при ново предложение какво се случва,Пазар Потребителско кредитиране,False
лица под 18г. могат ли да правят онлайн плащания,Пазар Ежедневно банкиране,35f753ef-1447-449a-adec-2abbb442b8be,Лица под 18г. могат ли да правят онлайн плащания,Пазар Ежедневно банкиране,False
банка дск отпуска ли ктп с доход от чужбина,Пазар Потребителско кредитиране,115b2865-3a84-4c51-940b-27add7cdad10,Банка дск отпуска ли ктп с доход от чужбина,Пазар Потребителско кредитиране,False
кредит под наблюдение,Няколко пазара,140750b3-fa43-4766-bcc5-2a16de44cc87,кредит под наблюдение,Няколко пазара,False
сигурен ли си че гаражите са 2 бр,Пазар Жилищни и ипотечни кредити,322f4874-7234-4a52-a238-5c946e157e18,сигурен ли си че гаражите са 2 бр,Пазар Жилищни и ипотечни кредити,False
съдържание на договор за план премиум,Пазар Ежедневно банкиране,7614ef45-7b6d-4eb5-a33f-803ab9483d1b,съдържание на Договор за План премиум,Пазар Ежедневно банкиране,False
може ли да се открие фирчена сметка на фондация,Пазар Малък бизнес,e8d2f88a-c445-4190-bd73-1bc35baef8c7,може ли да се открие фирчена сметка на фондация,Пазар Малък бизнес,False
word debit master card,Пазар Ежедневно банкиране,32c2d23c-58ea-4b17-995d-ab006b773943,word debit master card,Пазар Ежедневно банкиране,False
необходими документи за откриване на фирмена сметка,Пазар Малък бизнес,c49536d2-882d-4153-a394-cc9f4039ee46,необходими документи за откриване на фирмена сметка,Пазар Малък бизнес,False
как се изчислява nps,Други,b184aa34-972e-4cd6-8900-d2c1036d583b,Как се изчислява NPS,Други,False
колко процента финансираме ателие,Пазар Жилищни и ипотечни кредити,162e82c5-d0db-40a1-99b7-b22552d640e8,колко процента финансираме ателие,Пазар Жилищни и ипотечни кредити,False
какви възможности за финансиране има клиент при кандидатстване за потребителски кредит с рефинансиране през dsk mobile,Пазар Потребителско кредитиране,46ec53ba-923a-4b38-9451-cd6e07b269e4,Какви възможности за финансиране има клиент при кандидатстване за потребителски кредит с рефинансиране през DSK Mobile,Пазар Потребителско кредитиране,False
"за какъв максимален размер на ипотечен кредит може да бъде предварително одобрен клиент с нетен месечен доход по трудов договор 1900 лева, няма други кредити.",Пазар Жилищни и ипотечни кредити,1cb11dab-3b48-45b4-a3ba-293f294b8bad,"За какъв максимален размер на ипотечен кредит може да бъде предварително одобрен клиент с нетен месечен доход по трудов договор 1900 лева, няма други кредити.",Пазар Жилищни и ипотечни кредити,False
как клиент може да увеличи лимита си до максималната сума за теглене или плащане през dsk mobile,Пазар Ежедневно банкиране,8fcf587f-fb2b-42a0-b622-1aa96103576d,как клиент може да увеличи лимита си до максималната сума за теглене или плащане през DSK MOBILE,Пазар Ежедневно банкиране,False
бланка искане за оспорване,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,f9e244ec-4289-48ff-a775-caeed4b6704e,бланка искане за оспорване,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
каква е таксата за теглене на каса от сметка на юридическо лице без заявка?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,7b3c8adb-303a-46c4-ab17-b20ea02dd612,Каква е таксата за теглене на каса от сметка на юридическо лице без заявка?,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
"какъв е максималният размер за потребителски кредит, който може да усвои клиент със заплата 1500 лв. нето?",Пазар Потребителско кредитиране,88607a08-3025-438c-9b0c-b00f6f358ede,"Какъв е максималният размер за потребителски кредит, който може да усвои клиент със заплата 1500 лв. нето?",Пазар Потребителско кредитиране,False
с много неща,Други,71c4fb71-fc80-45c8-a5ec-e5cef358bab1,С МНОГО НЕЩА,Други,False
"може ли през los да се обработват искания за кредити, насочени от външни партньори",Пазар Потребителско кредитиране,490a67b2-a220-4831-a415-1a3d08328628,"Може ли през LOS  да се обработват искания за кредити, насочени от външни партньори",Пазар Потребителско кредитиране,False
премиум пла,Други,d4e21d57-bef1-486c-81a6-095055292a6d,премиум пла ,Други,False
може ли клиент да използва дск смарт на два телефона,Пазар Ежедневно банкиране,e91d856f-2aa8-452e-b31e-47596029aa74,може ли клиент да използва дск смарт на два телефона,Пазар Ежедневно банкиране,False
кога мога да си изтегля паричните средства от универсален пенсионен фонд дск родина?,Пазар Спестяване и инвестиции,b92d7707-7242-47f2-85bd-2aabf24786a0,Кога мога да си изтегля паричните средства от универсален пенсионен фонд ДСК Родина?,Пазар Спестяване и инвестиции,False
какво включва асистиран онлайн процес в офис на банката за регистрация на бизнес клиенти?,Пазар Малък бизнес,e2e6dbb8-b409-4fcd-88eb-45c4ff2cce59,Какво включва Асистиран онлайн процес в офис на Банката за регистрация на бизнес клиенти? ,Пазар Малък бизнес,False
м токен изписва очаква активация,Пазар Ежедневно банкиране,8002d14e-180d-49f1-a1fc-71ce50dff581,м токен изписва очаква активация,Пазар Ежедневно банкиране,False
каква е максималната възраст за кандидатстване за кредит за текущо потребление от клиенти пенсионери?,Пазар Потребителско кредитиране,13599c6b-6581-4b3b-9168-4837d2ccb144,Каква е максималната възраст за кандидатстване за кредит за текущо потребление от клиенти пенсионери?,Пазар Потребителско кредитиране,False
може ли линк за дигитален онбординг за набурателна сметка,Пазар Малък бизнес,13187464-7a85-459e-8a37-baa027eef449,може ли линк за дигитален онбординг за набурателна сметка,Пазар Малък бизнес,False
предлагат ли се срочни депозити,Пазар Ежедневно банкиране,c0bb1261-319f-49fc-9dcd-67272f1eb343,предлагат ли се срочни депозити,Пазар Ежедневно банкиране,False
при жилищните кредити има ли промяна в продуктовите карти,Пазар Жилищни и ипотечни кредити,941d195d-5b48-4040-852c-7658406f45c9,При жилищните кредити има ли промяна в продуктовите карти,Пазар Жилищни и ипотечни кредити,False
за правно и юридическо становище,Пазар Жилищни и ипотечни кредити,0227b5f0-c48a-4fbc-9863-f00439cd3ab3,за правно и юридическо становище,Пазар Жилищни и ипотечни кредити,False
има ли такса при ченч,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,47f7025a-b625-4667-b523-b3c4c9ce6772,Има ли такса при ченч,ДИРЕКЦИЯ ПАЗАР АТМ И КАСОВА ДЕЙНОСТ,False
може ли да се открива рс на вече регистриран клиент през дск мобайл?,Пазар Ежедневно банкиране,4d0361ae-e65f-48d0-9c22-972b2ab51538,Може ли да се открива РС на вече регистриран клиент през ДСК Мобайл?,Пазар Ежедневно банкиране,False
възможно ли е клиент да редактира реквизитите на вече нареден превод в dsk mobile за да се използва информацията отново,Пазар Ежедневно банкиране,f55dbcad-5010-4b3a-9ca3-1e4c66a7df56,възможно ли е клиент да редактира реквизитите на вече нареден превод в DSK Mobile за да се използва информацията отново ,Пазар Ежедневно банкиране,False
картов курс,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,d1b1aac9-1335-418b-81da-4ea07cda2781,картов курс,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
промоция бизнес клиенти,Пазар Малък бизнес,bb05508b-cc6c-4be0-b93a-114c30f6dc82,промоция бизнес клиенти ,Пазар Малък бизнес,False
коя е падежната дата при овърдрафт,Пазар Потребителско кредитиране,32b8703a-cfaa-47d1-b0ee-c68c4a46c50d,коя е падежната дата при овърдрафт,Пазар Потребителско кредитиране,False
може ли надвнесена сума по кредитна карта да бъде прехвърлена към разплащателната сметка на клиента,Пазар Разсрочени плащания,dcba8f03-5fd8-4eb1-a00a-1b232bba0a01,Може ли надвнесена сума по кредитна карта да бъде прехвърлена към разплащателната сметка на клиента,Пазар Разсрочени плащания,False
приложение 3,Други,5b6c2c9c-e2be-4c5f-b5a9-583b28634ac6,приложение 3,Други,False
"кредитоискател на 31години с доход 1867,32лв. съдлъжник на 52години с доход 4505,46лв. може ли да кандидатстват за кредит за покупка на имот в размер на 340 000лв. за 360месеца",Пазар Жилищни и ипотечни кредити,b2aee1b9-a912-45f1-9f03-c545ab868c10,"КРЕДИТОИСКАТЕЛ НА 31ГОДИНИ С ДОХОД 1867,32ЛВ. СЪДЛЪЖНИК НА 52ГОДИНИ С ДОХОД 4505,46ЛВ. МОЖЕ ЛИ ДА КАНДИДАТСТВАТ ЗА КРЕДИТ ЗА ПОКУПКА НА ИМОТ В РАЗМЕР НА 340 000ЛВ. ЗА 360МЕСЕЦА ",Пазар Жилищни и ипотечни кредити,False
разкажи ми за карта wiiz air,Пазар Разсрочени плащания,25972b54-7176-49ee-9651-c2dff7c145b0,Разкажи ми за карта Wiiz Air,Пазар Разсрочени плащания,False
какъв е максималния лимит по овърдрафт,Пазар Потребителско кредитиране,df231f83-202b-4342-bde3-f82807c9a8d8,какъв е максималния лимит по овърдрафт,Пазар Потребителско кредитиране,False
priority pass,Пазар Разсрочени плащания,ee2c611d-bdfc-4cf3-bc16-b3534daf8e34,PRIORITY PASS,Пазар Разсрочени плащания,False
как се прави търговски жест,Други,804648f2-243b-4a8d-846d-35785a5c8409,КАК СЕ ПРАВИ ТЪРГОВСКИ ЖЕСТ,Други,False
как се определя размера на средствата за текущи потребности при ипотечен кредит за нецелево външно рефинансиране,Пазар Жилищни и ипотечни кредити,513566bb-6673-4d6a-98fd-631e2b4ff6bc,как се определя размера на средствата за текущи потребности при ипотечен кредит за нецелево външно рефинансиране,Пазар Жилищни и ипотечни кредити,False
какви документи са необходими за откриване на разплащателна сметка на гръцки гражданин,Пазар Ежедневно банкиране,1ecae43f-bb7e-40df-8477-8e118ca24aaa,какви документи са необходими за откриване на разплащателна сметка на гръцки гражданин,Пазар Ежедневно банкиране,False
"как се изчислява доход на кредитоискател ,който ще навърши пенсионна възраст",Няколко пазара,cca70a72-0895-4f75-9703-8a830b1f2f5b,"как се изчислява доход на  кредитоискател ,който ще навърши пенсионна възраст",Няколко пазара,False
"в каква валута може да буде основната сметка,включена в план на бизнес клиент?",Пазар Малък бизнес,326a554e-0f8e-4274-8138-9c40058bc67b,"В каква валута може да буде основната сметка,включена в план на бизнес клиент?",Пазар Малък бизнес,False
такса план премиум,Пазар Ежедневно банкиране,841d1cdc-5feb-49c7-a9d5-e3a53de85aa0,такса план премиум,Пазар Ежедневно банкиране,False
"за откриване на фирмена сметка с двама съдружници, задължително ли е и двамата да подпишат съответните документи",Пазар Малък бизнес,5b0382a8-a50a-4f7e-931a-2de6e3107778,"за откриване на фирмена сметка с двама съдружници, задължително ли е и двамата да подпишат съответните документи",Пазар Малък бизнес,False
а за село лозен,Други,6553cf6d-0e61-4bd7-a692-7dc75e254ea1,а за село Лозен,Други,False
до какъв лимит може да се отпусне по кк galaxy,Пазар Разсрочени плащания,60c52303-5fb7-4fae-b865-b153ab3cfbe3,до какъв лимит може да се отпусне по кк galaxy,Пазар Разсрочени плащания,False
включена ли е сметка в евро в премиум план,Пазар Ежедневно банкиране,055abf3e-4873-4184-8260-d62613f1487d,включена ли е сметка в евро в премиум план,Пазар Ежедневно банкиране,False
лихвен процент на кк galaxy,Пазар Разсрочени плащания,adc044b3-2260-424b-9304-f6695b69c577,лихвен процент на кк galaxy,Пазар Разсрочени плащания,False
бланка за допълнително споразумение,Няколко пазара,eddec2ca-5ad9-4492-aa41-85b1e9760d9e,бланка за допълнително споразумение,Няколко пазара,False
"мога ли от меню заявки да заявя банкова гаранция, в случай, че нямам одобрен кредитен лимит",Пазар Малък бизнес,3baad2c1-e60f-4ab0-9dba-1d2c63f65e25,"Мога ли от меню заявки да заявя банкова гаранция, в случай, че нямам одобрен кредитен лимит",Пазар Малък бизнес,False
колко е месечната такса за премиум план?,Пазар Ежедневно банкиране,9c43583b-4374-4332-9edd-c90cf34cd098,Колко е месечната такса за Премиум план?,Пазар Ежедневно банкиране,False
през какъв период се подновява оценка на целевия пазар?,Пазар Спестяване и инвестиции,f42d8f80-d97b-419a-91c5-7ffbf94cbc5b,През какъв период се подновява Оценка на целевия пазар?,Пазар Спестяване и инвестиции,False
как се дигитализира карта която е в процес на производство в dsk mobile?,Пазар Ежедневно банкиране,adb1c73f-a72d-4f2f-a90f-3270b7f963fb,Как се дигитализира карта която е в процес на производство в DSK Mobile?,Пазар Ежедневно банкиране,False
какъв е максималният срок за ипотечен кредит?,Пазар Жилищни и ипотечни кредити,7df9dad5-9347-40f4-8cfc-0f764ce82bf3,Какъв е максималният срок за ипотечен кредит?,Пазар Жилищни и ипотечни кредити,False
какво означава че откриваме сметки на фл в следните допълнителни валути допълнителни валути: шведски крони (sek) унгарски форинти (huf) румънски леи (ron) японски йени (jpy) руски рубли (rub) турски лири (try) австралийски долари (aud),Пазар Ежедневно банкиране,886807ed-00e9-4c25-b7dd-7b12218e25f4,"Какво означава че откриваме сметки на ФЛ в следните допълнителни валути Допълнителни валути:

Шведски крони (SEK)
Унгарски форинти (HUF)
Румънски леи (RON)
Японски йени (JPY)
Руски рубли (RUB)
Турски лири (TRY)
Австралийски долари (AUD)",Пазар Ежедневно банкиране,False
българин работеш в чужбина без поръчител.,Няколко пазара,4948aa63-ed6e-4a73-905b-ad8834cfaaeb,Българин работеш в чужбина без поръчител.,Няколко пазара,False
такса заверка на справка по сметка,Пазар Ежедневно банкиране,ab301457-2ecb-468d-b9d2-4d39c81a751d,такса заверка на справка по сметка,Пазар Ежедневно банкиране,False
"i confirm that i am available to visit dsk bank to issue this bank guarantee. as mentioned in my first email, i cannot submit my online request for the bank guarantee issuance because i need bank validation (approved loan limits) to complete all the required information. below are the details i can provide for my request: * uic: 207995593 * ordering party: сървитех енджъниъринг оод (207995593) * approved loan limits: i do not have access * beneficiary name: epe magi spa * beneficiary country: algeria * beneficiary address: zone industrielle de reghaia lot numero 38 section numero 06 zone b bp 52 rouiba reghaia alger * bank guarantee amount / currency: 23,367.49 eur * entry date: 2nd april 2025 * validity date: 1st may 2026 * bank guarantee type: performance guarantee * bank guarantee text: bank template * instructions for text or issuance date: i am unsure what information you need * current account for fees: own account in eur * method of issuance: swift * attached file: contract 17/2024 (see attached pdf) please let me know which dsk branch i should visit to proceed with this bank guarantee. i remain available for any further information. regards,",Други,f361fc03-4585-4ba7-9462-f876fc4a4d71,"I confirm that I am available to visit DSK Bank to issue this bank guarantee.

As mentioned in my first email, I cannot submit my online request for the Bank Guarantee Issuance because I need bank validation (approved loan limits) to complete all the required information.

Below are the details I can provide for my request:

  *   UIC: 207995593

  *   Ordering Party: СЪРВИТЕХ ЕНДЖЪНИЪРИНГ ООД (207995593)

  *   Approved Loan Limits: I do not have access

  *   Beneficiary Name: EPE MAGI SPA

  *   Beneficiary Country: Algeria

  *   Beneficiary Address:
Zone Industrielle de Reghaia Lot numero 38 Section numero 06 Zone B BP 52 Rouiba Reghaia Alger

  *   Bank Guarantee Amount / Currency: 23,367.49 EUR

  *   Entry Date: 2nd April 2025

  *   Validity Date: 1st May 2026

  *   Bank Guarantee Type: Performance Guarantee

  *   Bank Guarantee Text: Bank Template

  *   Instructions for Text or Issuance Date: I am unsure what information you need

  *   Current Account for Fees: Own Account in EUR

  *   Method of Issuance: SWIFT

  *   Attached File: Contract 17/2024 (see attached pdf)

Please let me know which DSK branch I should visit to proceed with this bank guarantee. I remain available for any further information.

Regards,",Други,False
колко е минималната сума за потребителски кредит,Пазар Потребителско кредитиране,4454f97a-50fa-4a64-98da-0834a93ac4c2,КОЛКО Е МИНИМАЛНАТА СУМА ЗА ПОТРЕБИТЕЛСКИ КРЕДИТ ,Пазар Потребителско кредитиране,False
необходима ли е декларация за отдалечен достъп за банкиране при бизнес клинт,Пазар Малък бизнес,a993863a-d773-4ff7-a832-b012d9af76b0,необходима ли е декларация за отдалечен достъп за банкиране при бизнес клинт,Пазар Малък бизнес,False
каква работа да си намеря?,Други,208c0b4e-3eaa-4f81-a3a1-1d466aace625,каква работа да си намеря? ,Други,False
а колко се заплаща за откриването на пакет премиум и кк -премиум по бонусната система за служители- киб,Други,7fa993af-c68f-4917-84b5-a8870d40ffb9,А колко се заплаща за откриването на пакет Премиум  и КК -Премиум по бонусната система за служители- КИБ,Други,False
какъв е dsti при доходи от пенсия,Пазар Потребителско кредитиране,e10a446c-a195-4e8d-b95f-5e3a66f2bd6c,какъв е DSTI при доходи от пенсия,Пазар Потребителско кредитиране,False
към днешна дата кой е с отворен период,Пазар Спестяване и инвестиции,15f0f285-7211-4ce2-8947-fcab35852ea1,към днешна дата кой е с отворен период,Пазар Спестяване и инвестиции,False
колко е таксата за разглеждане на ипотечен кредит,Пазар Жилищни и ипотечни кредити,b56f9cf6-053c-4315-bf87-fb7aba8ad3cb,колко е таксата за разглеждане на ипотечен кредит,Пазар Жилищни и ипотечни кредити,False
премиум план,Пазар Ежедневно банкиране,86987241-298f-4ad4-887b-f7d78f1f7340,ПРЕМИУМ ПЛАН ,Пазар Ежедневно банкиране,False
все още не съм получил никакво известие от куриер че ще ми достави картата,Други,6ba76a67-ea50-47e6-bd09-204b2e2a643d,Все още не съм получил никакво известие от куриер че ще ми достави картата,Други,False
до какво време сума постъпва във акаунт към inbet.bg,Други,0addc10b-7230-40b6-a00a-b22ee014d4ee,до какво време сума постъпва във акаунт към INBET.BG,Други,False
как се закрива застраховка смисъл за теб,Пазар Банково застраховане,4d8ab912-c618-4af4-8667-212c09282bd5,как се закрива застраховка Смисъл за теб,Пазар Банково застраховане,False
как се активира 3ds при онлайн разплащания с банкови карти като допълнителна потвърдителна стъпка за сигурност,Пазар Ежедневно банкиране,3ddd7d05-ab2f-4d3a-a660-8c260eb78f22,как се активира 3DS при онлайн разплащания с банкови карти като допълнителна потвърдителна стъпка за сигурност,Пазар Ежедневно банкиране,False
заявка за откриване на сметка онлайн,Пазар Ежедневно банкиране,e30b9fb9-2287-4de1-97c8-54b9b018de22,заявка за откриване на сметка онлайн,Пазар Ежедневно банкиране,False
кредитна карта maxi go какви такси има?,Пазар Разсрочени плащания,643dba83-2273-4da3-9828-5206cc40b7a7,кредитна карта maxi go какви такси има?,Пазар Разсрочени плащания,False
"как клиент може да промени сметката , по която да получава превод blink p2p по мобилен номер през dsk mobile",Пазар Ежедневно банкиране,d299530b-ca8f-4562-b5e0-5672b5bee76b,"Как клиент може да промени сметката , по която да получава превод Blink P2P по мобилен номер през DSK Mobile",Пазар Ежедневно банкиране,False
какви са часовете за излъчване на преводи бисера и рингс?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,cee238b8-5f5f-4a4f-a65a-e6a55f6a5411,Какви са часовете за излъчване на преводи БИСЕРА и РИНГС?,ДИРЕКЦИЯ БАНКОВИ ОПЕРАЦИИ,False
при починал титуляр по кредит какви действия се предприемат?,Пазар Ежедневно банкиране,c03f73a8-79b1-4a50-87fb-ef6e8caa66f9,При починал титуляр по кредит какви действия се предприемат?,Пазар Ежедневно банкиране,False
как се изчислява минималният остатъчен доход за всички участници с доход в искането за потребителски кредит,Пазар Потребителско кредитиране,d663a8d0-b57d-49ca-a987-f11ac61d5dba,как се изчислява минималният остатъчен доход за всички участници с доход в искането за потребителски кредит,Пазар Потребителско кредитиране,False
как се пуска излечение,Няколко пазара,bf8025c2-3f95-4a16-8438-1b64e0a409d8,КАК СЕ ПУСКА ИЗЛЕЧЕНИЕ,Няколко пазара,False
